id__,country,regio,s3,anni,area,s5,q3ter,q4__4,q4__5,q4__6,q4__7,q4__8,q4__9,q4__10,q5__4,q5__5,q5__6,q5__7,q5__8,q5__9,q5__10,eta,stile
4366,Italia,Lazio,Femmina,55,Centro,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",4-5 volte all’anno,4-5 volte all’anno,2-3 volte al mese,4-5 volte all’anno,1 volta al mese,4-5 volte all’anno,4-5 volte all’anno,Un po’ diminuito,Un po’ diminuito,Un po’ diminuito,Un po’ diminuito,Uguale,Uguale,Un po’ diminuito,55-64,Territorialisti
4367,Italia,Piemonte,Femmina,39,Nord Ovest,Solo io,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",2-3 volte al mese,2-3 volte al mese,2-3 volte al mese,2-3 volte al mese,2-3 volte al mese,2-3 volte al mese,2-3 volte al mese,Un po’ diminuito,Un po’ diminuito,Uguale,Un po’ diminuito,Un po’ diminuito,Un po’ diminuito,Un po’ diminuito,35-44,Esterofili
4368,Italia,Toscana,Femmina,58,Centro,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",Mai,Mai,1 volta a settimana,1 volta a settimana,2-3 volte al mese,Mai,Più raramente,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,55-64,Territorialisti
4369,Italia,Sicilia,Maschio,50,Sud e Isole,Soprattutto io,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",1 volta al mese,4-5 volte all’anno,2-3 volte a settimana,2-3 volte a settimana,Tutti i giorni o quasi,Più raramente,1 volta al mese,Molto diminuito,Uguale,Un po’ diminuito,Un po’ diminuito,Uguale,Molto diminuito,Uguale,45-54,Esterofili
4370,Italia,Lombardia,Femmina,52,Nord Ovest,Solo io,Nessuno di questi,2-3 volte al mese,4-5 volte all’anno,1 volta a settimana,2-3 volte al mese,Tutti i giorni o quasi,2-3 volte a settimana,1 volta a settimana,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,45-54,Nessuno di questi
4372,Italia,Campania,Maschio,45,Sud e Isole,Solo io,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",1 volta a settimana,2-3 volte al mese,1 volta a settimana,1 volta a settimana,2-3 volte a settimana,1 volta a settimana,2-3 volte a settimana,Un po’ aumentato,Un po’ aumentato,Molto aumentato,Un po’ aumentato,Uguale,Un po’ aumentato,Un po’ aumentato,45-54,Ristoriani
4373,Italia,Lombardia,Maschio,50,Nord Ovest,Solo io,Nessuno di questi,Più raramente,Più raramente,4-5 volte all’anno,1 volta al mese,1 volta al mese,1 volta al mese,4-5 volte all’anno,Un po’ diminuito,Un po’ diminuito,Uguale,Un po’ diminuito,Uguale,Uguale,Uguale,45-54,Nessuno di questi
4374,Italia,Lombardia,Femmina,36,Nord Ovest,Solo io,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",1 volta a settimana,Tutti i giorni o quasi,1 volta a settimana,1 volta a settimana,1 volta a settimana,2-3 volte a settimana,1 volta a settimana,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,35-44,Salutisti
4375,Italia,Calabria,Femmina,43,Sud e Isole,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,Tutti i giorni o quasi,2-3 volte a settimana,1 volta a settimana,Molto aumentato,Molto aumentato,Molto aumentato,Un po’ diminuito,Molto aumentato,Molto aumentato,Un po’ diminuito,35-44,Territorialisti
4376,Italia,Lombardia,Femmina,37,Nord Ovest,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3 volte a settimana,1 volta a settimana,2-3 volte a settimana,2-3 volte a settimana,1 volta a settimana,1 volta al mese,1 volta a settimana,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,35-44,Territorialisti
4377,Italia,Lombardia,Femmina,22,Nord Ovest,Principalmente io e occasionalmente altri,SREGOLATI: consumano lasciandosi prendere dal momento. A volte non mangiano per svolgere altre attività e poi compensano,2-3 volte al mese,2-3 volte a settimana,1 volta a settimana,2-3 volte al mese,2-3 volte a settimana,2-3 volte al mese,2-3 volte al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,20-24,Sregolati
4378,Italia,Sicilia,Femmina,21,Sud e Isole,Soprattutto io,"LOCALIVORI: danno priorità ai prodotti km0 e anche biologici, quando riescono cercano di autoprodursi il cibo che consum",1 volta a settimana,1 volta a settimana,1 volta a settimana,2-3 volte al mese,1 volta a settimana,2-3 volte a settimana,4-5 volte all’anno,Un po’ aumentato,Un po’ diminuito,Molto aumentato,Uguale,Uguale,Molto aumentato,Un po’ aumentato,20-24,Localivori
4379,Italia,Piemonte,Maschio,62,Nord Ovest,Io e qualcun altro in egual misura,SREGOLATI: consumano lasciandosi prendere dal momento. A volte non mangiano per svolgere altre attività e poi compensano,1 volta a settimana,1 volta a settimana,2-3 volte a settimana,2-3 volte a settimana,Tutti i giorni o quasi,2-3 volte al mese,1 volta a settimana,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,55-64,Sregolati
4380,Italia,Toscana,Femmina,34,Centro,Solo io,ETICISTI: acquistano e consumano secondo i principi etici in cui credono. Sono inclusi i principi di non violenza nei co,1 volta al mese,1 volta al mese,2-3 volte al mese,2-3 volte al mese,1 volta al mese,2-3 volte al mese,1 volta al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,25-34,Eticisti
4382,Italia,Puglia,Femmina,33,Sud e Isole,Soprattutto altri membri della famiglia,ETICISTI: acquistano e consumano secondo i principi etici in cui credono. Sono inclusi i principi di non violenza nei co,1 volta a settimana,1 volta al mese,4-5 volte all’anno,2-3 volte al mese,Mai,1 volta al mese,Più raramente,Uguale,Molto diminuito,Uguale,Un po’ aumentato,Un po’ aumentato,Molto diminuito,Un po’ aumentato,25-34,Eticisti
4383,Italia,Lombardia,Maschio,43,Nord Ovest,Principalmente io e occasionalmente altri,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",4-5 volte all’anno,4-5 volte all’anno,1 volta al mese,1 volta a settimana,4-5 volte all’anno,1 volta al mese,4-5 volte all’anno,Uguale,Un po’ diminuito,Un po’ diminuito,Un po’ aumentato,Un po’ diminuito,Uguale,Un po’ aumentato,35-44,Salutisti
4384,Italia,Campania,Femmina,43,Sud e Isole,Solo io,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",1 volta a settimana,4-5 volte all’anno,1 volta a settimana,1 volta a settimana,1 volta a settimana,2-3 volte al mese,1 volta a settimana,Un po’ diminuito,Un po’ diminuito,Uguale,Un po’ diminuito,Uguale,Uguale,Un po’ diminuito,35-44,Salutisti
4385,Italia,Lombardia,Femmina,40,Nord Ovest,Solo io,"SALUBRISTI: vedono il cibo come un modo per preservare la loro salute. Sono molto attenti alla salubrità degli alimenti,",1 volta al mese,4-5 volte all’anno,1 volta a settimana,1 volta al mese,1 volta a settimana,2-3 volte al mese,1 volta al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,35-44,Salubristi
4388,Italia,Lazio,Femmina,55,Centro,Solo io,"LOCALIVORI: danno priorità ai prodotti km0 e anche biologici, quando riescono cercano di autoprodursi il cibo che consum",2-3 volte al mese,4-5 volte all’anno,1 volta a settimana,2-3 volte al mese,1 volta al mese,1 volta al mese,4-5 volte all’anno,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,55-64,Localivori
4389,Italia,Lazio,Femmina,56,Centro,Principalmente io e occasionalmente altri,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",Mai,Più raramente,1 volta a settimana,Mai,1 volta a settimana,1 volta al mese,2-3 volte al mese,Un po’ diminuito,Un po’ diminuito,Un po’ diminuito,Un po’ diminuito,Uguale,Uguale,Un po’ diminuito,55-64,Esterofili
4390,Italia,Lombardia,Maschio,62,Nord Ovest,Io e qualcun altro in egual misura,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",4-5 volte all’anno,4-5 volte all’anno,Più raramente,Mai,2-3 volte al mese,Mai,4-5 volte all’anno,Un po’ diminuito,Uguale,Molto diminuito,Molto diminuito,Uguale,Molto diminuito,Molto diminuito,55-64,Territorialisti
4391,Italia,Toscana,Femmina,58,Centro,Solo io,Nessuno di questi,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,Tutti i giorni o quasi,1 volta a settimana,1 volta a settimana,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,55-64,Nessuno di questi
4392,Italia,Calabria,Maschio,60,Sud e Isole,Io e qualcun altro in egual misura,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",Mai,Mai,Mai,Mai,1 volta al mese,Mai,Mai,Molto diminuito,Molto diminuito,Molto diminuito,Molto diminuito,Molto diminuito,Molto diminuito,Molto diminuito,55-64,Territorialisti
4393,Italia,Emilia Romagna,Maschio,56,Nord Est,Io e qualcun altro in egual misura,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3 volte al mese,4-5 volte all’anno,2-3 volte a settimana,Più raramente,Tutti i giorni o quasi,2-3 volte a settimana,1 volta a settimana,Un po’ diminuito,Un po’ diminuito,Uguale,Molto diminuito,Uguale,Uguale,Uguale,55-64,Territorialisti
4394,Italia,Lazio,Maschio,37,Centro,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,2-3 volte al mese,2-3 volte al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,35-44,Territorialisti
4395,Italia,Emilia Romagna,Maschio,58,Nord Est,Io e qualcun altro in egual misura,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3 volte al mese,2-3 volte al mese,2-3 volte al mese,2-3 volte al mese,4-5 volte all’anno,1 volta al mese,1 volta al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,55-64,Territorialisti
4396,Italia,Lombardia,Femmina,39,Nord Ovest,Solo io,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",2-3 volte a settimana,1 volta a settimana,2-3 volte a settimana,Tutti i giorni o quasi,Tutti i giorni o quasi,2-3 volte a settimana,2-3 volte a settimana,Un po’ aumentato,Uguale,Un po’ aumentato,Un po’ aumentato,Molto aumentato,Un po’ aumentato,Un po’ aumentato,35-44,Esterofili
4397,Italia,Lazio,Femmina,43,Centro,Solo io,"LOCALIVORI: danno priorità ai prodotti km0 e anche biologici, quando riescono cercano di autoprodursi il cibo che consum",1 volta a settimana,4-5 volte all’anno,2-3 volte al mese,2-3 volte al mese,Tutti i giorni o quasi,2-3 volte a settimana,1 volta a settimana,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,35-44,Localivori
4402,Italia,Lazio,Maschio,57,Centro,Io e qualcun altro in egual misura,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",Più raramente,Più raramente,4-5 volte all’anno,Mai,1 volta al mese,1 volta al mese,1 volta a settimana,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,55-64,Territorialisti
4405,Italia,Lazio,Maschio,36,Centro,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",4-5 volte all’anno,1 volta a settimana,1 volta al mese,1 volta a settimana,4-5 volte all’anno,1 volta al mese,2-3 volte al mese,Uguale,Un po’ aumentato,Uguale,Un po’ aumentato,Uguale,Un po’ aumentato,Un po’ aumentato,35-44,Territorialisti
4409,Italia,Piemonte,Maschio,48,Nord Ovest,Soprattutto io,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",2-3 volte a settimana,2-3 volte al mese,1 volta a settimana,2-3 volte a settimana,2-3 volte al mese,2-3 volte al mese,2-3 volte al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,45-54,Ristoriani
4411,Italia,Lombardia,Maschio,23,Nord Ovest,Soprattutto io,"EDONISTI: persone che ricercano l’esperienza gustativa nel consumo alimentare, non si accontentano di sfamarsi per neces",1 volta al mese,2-3 volte a settimana,1 volta a settimana,1 volta al mese,Tutti i giorni o quasi,1 volta a settimana,1 volta a settimana,Un po’ aumentato,Uguale,Molto aumentato,Molto diminuito,Uguale,Un po’ aumentato,Uguale,20-24,Edonisti
4412,Italia,Lombardia,Femmina,45,Nord Ovest,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",Tutti i giorni o quasi,Più raramente,Tutti i giorni o quasi,Tutti i giorni o quasi,Tutti i giorni o quasi,Tutti i giorni o quasi,Tutti i giorni o quasi,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,45-54,Territorialisti
4413,Italia,Lombardia,Maschio,48,Nord Ovest,Io e qualcun altro in egual misura,"ESSENZIALISTI: vedono il cibo come una necessità, mangiano essenzialmente per nutrirsi e per saziarsi, è sufficiente che",Più raramente,2-3 volte al mese,1 volta a settimana,Mai,2-3 volte a settimana,Mai,2-3 volte al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,45-54,Essenzialisti
4415,Italia,Lazio,Maschio,38,Centro,Solo io,"INDUSTRIARIANI: comprano nei supermercati, di cui vedono diverse qualità, tra cui avere merce sicura tutto l’anno a prez",1 volta al mese,4-5 volte all’anno,1 volta a settimana,2-3 volte al mese,2-3 volte al mese,2-3 volte al mese,1 volta al mese,Uguale,Un po’ diminuito,Un po’ aumentato,Uguale,Un po’ diminuito,Uguale,Uguale,35-44,Industriariani
4416,Italia,Lazio,Femmina,25,Centro,Solo io,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",1 volta a settimana,1 volta a settimana,1 volta a settimana,2-3 volte a settimana,Tutti i giorni o quasi,1 volta al mese,Tutti i giorni o quasi,Uguale,Un po’ diminuito,Un po’ diminuito,Un po’ diminuito,Molto aumentato,Un po’ aumentato,Un po’ aumentato,25-34,Ristoriani
4418,Italia,Lombardia,Maschio,42,Nord Ovest,Solo io,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",Tutti i giorni o quasi,2-3 volte a settimana,Tutti i giorni o quasi,2-3 volte a settimana,Tutti i giorni o quasi,2-3 volte a settimana,2-3 volte a settimana,Uguale,Un po’ diminuito,Uguale,Uguale,Un po’ diminuito,Uguale,Uguale,35-44,Esterofili
4419,Italia,Sicilia,Maschio,54,Sud e Isole,Solo io,ETICISTI: acquistano e consumano secondo i principi etici in cui credono. Sono inclusi i principi di non violenza nei co,Più raramente,Più raramente,1 volta al mese,1 volta al mese,Più raramente,1 volta al mese,Più raramente,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,45-54,Eticisti
4420,Italia,Lazio,Maschio,69,Centro,Soprattutto io,"INDUSTRIARIANI: comprano nei supermercati, di cui vedono diverse qualità, tra cui avere merce sicura tutto l’anno a prez",Più raramente,1 volta al mese,1 volta al mese,Mai,1 volta a settimana,1 volta a settimana,Più raramente,Molto diminuito,Un po’ diminuito,Un po’ diminuito,Molto diminuito,Uguale,Uguale,Molto diminuito,65-70,Industriariani
4421,Italia,Lazio,Maschio,42,Centro,Soprattutto io,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",1 volta a settimana,2-3 volte al mese,1 volta a settimana,2-3 volte al mese,2-3 volte al mese,2-3 volte al mese,2-3 volte al mese,Un po’ diminuito,Un po’ aumentato,Uguale,Un po’ diminuito,Un po’ aumentato,Uguale,Un po’ aumentato,35-44,Salutisti
4422,Italia,Campania,Maschio,55,Sud e Isole,Io e qualcun altro in egual misura,"ESSENZIALISTI: vedono il cibo come una necessità, mangiano essenzialmente per nutrirsi e per saziarsi, è sufficiente che",2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,Mai,2-3 volte a settimana,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,55-64,Essenzialisti
4423,Italia,Lombardia,Femmina,27,Nord Ovest,Principalmente io e occasionalmente altri,"SALUBRISTI: vedono il cibo come un modo per preservare la loro salute. Sono molto attenti alla salubrità degli alimenti,",1 volta a settimana,2-3 volte a settimana,2-3 volte a settimana,1 volta a settimana,2-3 volte a settimana,2-3 volte a settimana,1 volta a settimana,Uguale,Un po’ diminuito,Un po’ aumentato,Uguale,Uguale,Uguale,Uguale,25-34,Salubristi
4425,Italia,Sicilia,Femmina,44,Sud e Isole,Soprattutto altri membri della famiglia,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",4-5 volte all’anno,Più raramente,2-3 volte a settimana,2-3 volte al mese,Tutti i giorni o quasi,Più raramente,Più raramente,Un po’ diminuito,Un po’ diminuito,Un po’ diminuito,Un po’ diminuito,Uguale,Un po’ diminuito,Un po’ diminuito,35-44,Territorialisti
4426,Italia,Lombardia,Maschio,45,Nord Ovest,Solo io,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",2-3 volte al mese,2-3 volte al mese,2-3 volte al mese,1 volta a settimana,2-3 volte a settimana,1 volta a settimana,2-3 volte a settimana,Un po’ aumentato,Un po’ aumentato,Un po’ diminuito,Un po’ diminuito,Un po’ aumentato,Un po’ diminuito,Un po’ aumentato,45-54,Salutisti
4427,Italia,Lombardia,Femmina,42,Nord Ovest,Solo io,"ESTEROFILI: sempre pronti a sperimentare nuove cucine, differenti dai consueti piatti nazionali. Sono dei viaggiatori de",Più raramente,4-5 volte all’anno,2-3 volte al mese,1 volta a settimana,1 volta al mese,1 volta al mese,Più raramente,Uguale,Uguale,Uguale,Un po’ diminuito,Uguale,Un po’ aumentato,Uguale,35-44,Esterofili
4428,Italia,Lombardia,Maschio,50,Nord Ovest,Soprattutto io,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",2-3 volte al mese,1 volta a settimana,2-3 volte al mese,1 volta a settimana,2-3 volte al mese,2-3 volte al mese,2-3 volte al mese,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Molto aumentato,Un po’ aumentato,45-54,Ristoriani
4429,Italia,Lazio,Maschio,56,Centro,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",Mai,Mai,1 volta a settimana,Mai,Tutti i giorni o quasi,Mai,Più raramente,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,55-64,Territorialisti
4430,Italia,Campania,Maschio,40,Sud e Isole,Soprattutto altri membri della famiglia,"ESSENZIALISTI: vedono il cibo come una necessità, mangiano essenzialmente per nutrirsi e per saziarsi, è sufficiente che",4-5 volte all’anno,1 volta a settimana,1 volta a settimana,1 volta a settimana,2-3 volte al mese,1 volta al mese,1 volta a settimana,Un po’ diminuito,Uguale,Uguale,Uguale,Un po’ diminuito,Uguale,Uguale,35-44,Essenzialisti
4431,Italia,Lazio,Femmina,58,Centro,Solo io,Nessuno di questi,2-3 volte al mese,2-3 volte a settimana,2-3 volte a settimana,4-5 volte all’anno,Tutti i giorni o quasi,Tutti i giorni o quasi,2-3 volte a settimana,Un po’ aumentato,Un po’ aumentato,Molto aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,55-64,Nessuno di questi
4433,Italia,Puglia,Femmina,22,Sud e Isole,Solo altri membri della famiglia,"RISTORIANI: consumano molto frequentemente in ristoranti o bar, iniziano la mattina con la classica colazione al bar (pe",Tutti i giorni o quasi,Tutti i giorni o quasi,Tutti i giorni o quasi,Tutti i giorni o quasi,Tutti i giorni o quasi,Tutti i giorni o quasi,Tutti i giorni o quasi,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,Molto aumentato,20-24,Ristoriani
4434,Italia,Liguria,Femmina,55,Nord Ovest,Solo io,"INDUSTRIARIANI: comprano nei supermercati, di cui vedono diverse qualità, tra cui avere merce sicura tutto l’anno a prez",2-3 volte al mese,1 volta al mese,2-3 volte a settimana,Più raramente,4-5 volte all’anno,2-3 volte al mese,Più raramente,Un po’ diminuito,Uguale,Un po’ aumentato,Molto diminuito,Un po’ diminuito,Uguale,Un po’ aumentato,55-64,Industriariani
4436,Italia,Emilia Romagna,Femmina,29,Nord Est,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3 volte al mese,Più raramente,2-3 volte al mese,Più raramente,Più raramente,2-3 volte al mese,Più raramente,Uguale,Uguale,Uguale,Un po’ diminuito,Un po’ diminuito,Uguale,Un po’ diminuito,25-34,Territorialisti
4437,Italia,Sicilia,Maschio,47,Sud e Isole,Soprattutto io,"SALUTISTI: sono molto attenti a un’alimentazione sana, spesso sono sotto regime dietetico e si concedono pochi sgarri du",2-3 volte al mese,4-5 volte all’anno,1 volta a settimana,1 volta a settimana,Tutti i giorni o quasi,1 volta a settimana,2-3 volte al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,45-54,Salutisti
4438,Italia,Sicilia,Maschio,55,Sud e Isole,Io e qualcun altro in egual misura,"EDONISTI: persone che ricercano l’esperienza gustativa nel consumo alimentare, non si accontentano di sfamarsi per neces",1 volta al mese,4-5 volte all’anno,2-3 volte al mese,2-3 volte al mese,4-5 volte all’anno,1 volta al mese,2-3 volte al mese,Uguale,Uguale,Uguale,Uguale,Un po’ diminuito,Uguale,Uguale,55-64,Edonisti
4439,Italia,Lazio,Femmina,51,Centro,Solo io,SREGOLATI: consumano lasciandosi prendere dal momento. A volte non mangiano per svolgere altre attività e poi compensano,4-5 volte all’anno,4-5 volte all’anno,2-3 volte a settimana,2-3 volte a settimana,Mai,4-5 volte all’anno,4-5 volte all’anno,Un po’ diminuito,Uguale,Un po’ aumentato,Molto aumentato,Uguale,Uguale,Uguale,45-54,Sregolati
4440,Italia,Piemonte,Femmina,45,Nord Ovest,Solo io,SREGOLATI: consumano lasciandosi prendere dal momento. A volte non mangiano per svolgere altre attività e poi compensano,1 volta al mese,1 volta al mese,Più raramente,Più raramente,4-5 volte all’anno,4-5 volte all’anno,1 volta al mese,Un po’ diminuito,Un po’ diminuito,Un po’ diminuito,Un po’ diminuito,Un po’ diminuito,Uguale,Un po’ diminuito,45-54,Sregolati
4441,Italia,Sicilia,Maschio,30,Sud e Isole,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3 volte a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,2-3 volte a settimana,Uguale,Un po’ aumentato,Uguale,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,Un po’ aumentato,25-34,Territorialisti
4442,Italia,Piemonte,Femmina,60,Nord Ovest,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,2-3 volte a settimana,1 volta a settimana,1 volta a settimana,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,55-64,Territorialisti
4443,Italia,Calabria,Femmina,26,Sud e Isole,Io e qualcun altro in egual misura,"LOCALIVORI: danno priorità ai prodotti km0 e anche biologici, quando riescono cercano di autoprodursi il cibo che consum",4-5 volte all’anno,4-5 volte all’anno,1 volta al mese,1 volta al mese,1 volta al mese,1 volta al mese,4-5 volte all’anno,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,25-34,Localivori
4444,Italia,Campania,Maschio,47,Sud e Isole,Io e qualcun altro in egual misura,Nessuno di questi,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,2-3 volte a settimana,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,45-54,Nessuno di questi
4447,Italia,Veneto,Maschio,53,Nord Est,Principalmente io e occasionalmente altri,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3 volte al mese,4-5 volte all’anno,2-3 volte a settimana,1 volta al mese,1 volta al mese,1 volta al mese,1 volta al mese,Un po’ diminuito,Uguale,Uguale,Uguale,Un po’ aumentato,Uguale,Uguale,45-54,Territorialisti
4448,Italia,Sicilia,Femmina,61,Sud e Isole,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",Più raramente,4-5 volte all’anno,1 volta a settimana,1 volta al mese,1 volta a settimana,4-5 volte all’anno,2-3 volte al mese,Un po’ diminuito,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,55-64,Territorialisti
4449,Italia,Lazio,Maschio,50,Centro,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",2-3 volte al mese,Più raramente,2-3 volte a settimana,2-3 volte al mese,Tutti i giorni o quasi,2-3 volte a settimana,2-3 volte al mese,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,Uguale,45-54,Territorialisti
4450,Italia,Puglia,Maschio,35,Sud e Isole,Soprattutto io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1 volta a settimana,2-3 volte al mese,1 volta a settimana,1 volta a settimana,1 volta a settimana,1 volta a settimana,2-3 volte a settimana,Un po’ diminuito,Uguale,Un po’ aumentato,Un po’ diminuito,Uguale,Uguale,Un po’ diminuito,35-44,Territorialisti
4451,Italia,Campania,Maschio,57,Sud e Isole,Solo io,"TERRITORIALISTI: consumano spesso a casa piatti che ricordano i sapori della famiglia, sono molto legati alle tradizioni",1 volta a settimana,4-5 volte all’anno,1 volta a settimana,1 volta a settimana,1 volta a settimana,2-3 volte a settimana,2-3 volte a settimana,Uguale,Uguale,Uguale,Uguale,Uguale,Un po’ aumentato,Uguale,55-64,Territorialisti
4453,Italia,Lombardia,Maschio,33,Nord Ovest,Soprattutto io,Nessuno di questi,2-3 volte a settimana,2-3 volte al mese,2-3 volte al mese,Tutti i giorni o quasi,1 volta al mese,2-3 volte a settimana,1 volta a settimana,Un po’ aumentato,Un po’ diminuito,Molto aumentato,Uguale,Uguale,Un po’ diminuito,Un po’ aumentato,25-34,Nessuno di questi
